"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","GDP","TOT","MLN_USD","A","1970",58839.142,
"AUS","GDP","TOT","MLN_USD","A","1971",64114.685,
"AUS","GDP","TOT","MLN_USD","A","1972",69784.722,
"AUS","GDP","TOT","MLN_USD","A","1973",78817.485,
"AUS","GDP","TOT","MLN_USD","A","1974",86294.943,
"AUS","GDP","TOT","MLN_USD","A","1975",96825.939,
"AUS","GDP","TOT","MLN_USD","A","1976",104254.904,
"AUS","GDP","TOT","MLN_USD","A","1977",110240.113,
"AUS","GDP","TOT","MLN_USD","A","1978",123301.963,
"AUS","GDP","TOT","MLN_USD","A","1979",137936.02,
"AUS","GDP","TOT","MLN_USD","A","1980",154986.821,
"AUS","GDP","TOT","MLN_USD","A","1981",178234.203,
"AUS","GDP","TOT","MLN_USD","A","1982",181872.587,
"AUS","GDP","TOT","MLN_USD","A","1983",196469.337,
"AUS","GDP","TOT","MLN_USD","A","1984",211703.778,
"AUS","GDP","TOT","MLN_USD","A","1985",228849.495,
"AUS","GDP","TOT","MLN_USD","A","1986",239937.581,
"AUS","GDP","TOT","MLN_USD","A","1987",260850.61,
"AUS","GDP","TOT","MLN_USD","A","1988",282826.156,
"AUS","GDP","TOT","MLN_USD","A","1989",299521.721,
"AUS","GDP","TOT","MLN_USD","A","1990",304084.341,
"AUS","GDP","TOT","MLN_USD","A","1991",313866.919,
"AUS","GDP","TOT","MLN_USD","A","1992",334363.038,
"AUS","GDP","TOT","MLN_USD","A","1993",355438.947,
"AUS","GDP","TOT","MLN_USD","A","1994",380863.735,
"AUS","GDP","TOT","MLN_USD","A","1995",403272.517,
"AUS","GDP","TOT","MLN_USD","A","1996",423917.691,
"AUS","GDP","TOT","MLN_USD","A","1997",450146.392,
"AUS","GDP","TOT","MLN_USD","A","1998",477523.679,
"AUS","GDP","TOT","MLN_USD","A","1999",510213.964,
"AUS","GDP","TOT","MLN_USD","A","2000",538619.383,
"AUS","GDP","TOT","MLN_USD","A","2001",569472.261,
"AUS","GDP","TOT","MLN_USD","A","2002",600460.974,
"AUS","GDP","TOT","MLN_USD","A","2003",637698.306,
"AUS","GDP","TOT","MLN_USD","A","2004",676662.202,
"AUS","GDP","TOT","MLN_USD","A","2005",719149.954,
"AUS","GDP","TOT","MLN_USD","A","2006",774702.195,
"AUS","GDP","TOT","MLN_USD","A","2007",825575.898,
"AUS","GDP","TOT","MLN_USD","A","2008",852201.51,
"AUS","GDP","TOT","MLN_USD","A","2009",903822.934,
"AUS","GDP","TOT","MLN_USD","A","2010",943525.18,
"AUS","GDP","TOT","MLN_USD","A","2011",992556.359,
"AUS","GDP","TOT","MLN_USD","A","2012",997622.794,
"AUS","GDP","TOT","MLN_USD","A","2013",1104642.029,
"AUS","GDP","TOT","MLN_USD","A","2014",1117534.426,
"AUS","GDP","TOT","MLN_USD","A","2015",1124892.295,
"AUS","GDP","TOT","MLN_USD","A","2016",1213189.412,
"AUS","GDP","TOT","MLN_USD","A","2017",1247296.036,
"AUS","GDP","TOT","MLN_USD","A","2018",1321782.233,
